t,x,y
2.74E+00,1.64E-01,-1.56E-02
2.77E+00,1.65E-01,-9.32E-03
2.80E+00,6.17E-03,-6.47E-02
2.84E+00,-5.03E-02,-2.39E-02
2.87E+00,-6.52E-02,-3.29E-03
2.90E+00,-6.32E-02,-6.86E-03
2.94E+00,-4.15E-02,-3.56E-02
2.97E+00,-1.23E-03,-6.20E-02
3.00E+00,4.40E-02,-7.49E-02
3.04E+00,8.24E-02,-8.70E-02
3.07E+00,8.22E-02,-7.35E-02
3.10E+00,6.90E-02,-7.49E-02
3.14E+00,4.20E-02,-7.40E-02
3.17E+00,1.03E-02,-6.75E-02
3.20E+00,-8.37E-03,-5.95E-02
3.24E+00,-1.98E-02,-5.88E-02
3.27E+00,-1.71E-02,-6.05E-02
3.30E+00,-3.47E-03,-6.63E-02
3.34E+00,1.50E-02,-7.25E-02
3.37E+00,3.14E-02,-7.64E-02
3.40E+00,4.14E-02,-7.79E-02
3.44E+00,4.02E-02,-7.77E-02
3.47E+00,3.06E-02,-7.65E-02
3.50E+00,1.75E-02,-7.36E-02
3.54E+00,6.24E-03,-7.02E-02
3.57E+00,-7.80E-04,-6.80E-02
3.60E+00,-4.52E-04,-6.80E-02
3.64E+00,6.55E-03,-7.07E-02
3.67E+00,1.57E-02,-7.34E-02
3.70E+00,2.39E-02,-7.59E-02
3.74E+00,2.80E-02,-7.64E-02
3.77E+00,2.76E-02,-7.61E-02
3.80E+00,2.24E-02,-7.55E-02
3.84E+00,1.51E-02,-7.36E-02
3.87E+00,8.83E-03,-7.13E-02
3.90E+00,5.63E-03,-7.02E-02
3.94E+00,6.82E-03,-7.07E-02
3.97E+00,1.16E-02,-7.23E-02
4.00E+00,1.71E-02,-7.40E-02
4.04E+00,2.13E-02,-7.53E-02
4.07E+00,2.28E-02,-7.54E-02
4.10E+00,2.11E-02,-7.50E-02
4.14E+00,1.71E-02,-7.40E-02
4.17E+00,1.25E-02,-7.27E-02
4.20E+00,9.29E-03,-7.15E-02
4.24E+00,9.04E-03,-7.14E-02
4.27E+00,1.12E-02,-7.20E-02
4.30E+00,1.47E-02,-7.32E-02
4.34E+00,1.81E-02,-7.41E-02
4.37E+00,1.98E-02,-7.46E-02
4.40E+00,1.92E-02,-7.45E-02
4.44E+00,1.70E-02,-7.41E-02
4.47E+00,1.37E-02,-7.31E-02
4.50E+00,1.13E-02,-7.21E-02
4.54E+00,1.07E-02,-7.20E-02
4.57E+00,1.19E-02,-7.22E-02
4.61E+00,1.43E-02,-7.29E-02
4.64E+00,1.67E-02,-7.36E-02
4.67E+00,1.79E-02,-7.40E-02
4.71E+00,1.77E-02,-7.39E-02
4.74E+00,1.61E-02,-7.36E-02
4.77E+00,1.39E-02,-7.29E-02
4.81E+00,1.21E-02,-7.24E-02
4.84E+00,1.17E-02,-7.23E-02
4.87E+00,1.26E-02,-7.24E-02
4.91E+00,1.43E-02,-7.30E-02
4.94E+00,1.60E-02,-7.35E-02
4.97E+00,1.68E-02,-7.37E-02
5.01E+00,1.65E-02,-7.36E-02
5.04E+00,1.53E-02,-7.33E-02
5.07E+00,1.38E-02,-7.29E-02
5.11E+00,1.25E-02,-7.25E-02
5.14E+00,1.23E-02,-7.24E-02
5.17E+00,1.31E-02,-7.26E-02
5.21E+00,1.44E-02,-7.30E-02
5.24E+00,1.55E-02,-7.34E-02
5.27E+00,1.60E-02,-7.35E-02
5.31E+00,1.57E-02,-7.34E-02
5.34E+00,1.47E-02,-7.32E-02
5.37E+00,1.35E-02,-7.28E-02
5.41E+00,1.27E-02,-7.26E-02
5.44E+00,1.28E-02,-7.25E-02
5.47E+00,1.35E-02,-7.29E-02
5.51E+00,1.45E-02,-7.31E-02
5.54E+00,1.53E-02,-7.34E-02
5.57E+00,1.55E-02,-7.34E-02
5.61E+00,1.50E-02,-7.32E-02
5.64E+00,1.41E-02,-7.30E-02
5.67E+00,1.33E-02,-7.28E-02
5.71E+00,1.30E-02,-7.28E-02
5.74E+00,1.32E-02,-7.28E-02
5.77E+00,1.39E-02,-7.31E-02
5.81E+00,1.46E-02,-7.31E-02
5.84E+00,1.51E-02,-7.34E-02
5.87E+00,1.50E-02,-7.33E-02
5.91E+00,1.44E-02,-7.32E-02
5.94E+00,1.38E-02,-7.29E-02
5.97E+00,1.33E-02,-7.30E-02
6.01E+00,1.32E-02,-7.28E-02
6.04E+00,1.35E-02,-7.29E-02
6.07E+00,1.41E-02,-7.30E-02
6.11E+00,1.46E-02,-7.32E-02
6.14E+00,1.48E-02,-7.32E-02
6.17E+00,1.46E-02,-7.32E-02
6.21E+00,1.41E-02,-7.30E-02
6.24E+00,1.36E-02,-7.29E-02
6.27E+00,1.34E-02,-7.28E-02
6.31E+00,1.34E-02,-7.28E-02
6.34E+00,1.38E-02,-7.30E-02
6.37E+00,1.42E-02,-7.31E-02
6.41E+00,1.46E-02,-7.32E-02
6.44E+00,1.46E-02,-7.32E-02
6.47E+00,1.43E-02,-7.31E-02
6.51E+00,1.39E-02,-7.30E-02
6.54E+00,1.36E-02,-7.29E-02
6.57E+00,1.35E-02,-7.29E-02
6.61E+00,1.37E-02,-7.30E-02
6.64E+00,1.41E-02,-7.31E-02
6.67E+00,1.43E-02,-7.31E-02
6.71E+00,1.44E-02,-7.32E-02
6.74E+00,1.43E-02,-7.31E-02
6.77E+00,1.41E-02,-7.31E-02
6.81E+00,1.37E-02,-7.29E-02
6.84E+00,1.36E-02,-7.29E-02
6.87E+00,1.36E-02,-7.29E-02
6.91E+00,1.39E-02,-7.30E-02
6.94E+00,1.41E-02,-7.31E-02
6.97E+00,1.43E-02,-7.31E-02
7.01E+00,1.43E-02,-7.31E-02
7.04E+00,1.41E-02,-7.31E-02